ts_utc,event,symbol,side,qty,entry,sl,tp1,mode,range_mode,rr,exit_price,extra
2025-09-26T16:17:43+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.61999999999998,203.85999999999999,full,trend,2.0,,
2025-09-26T16:17:51+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.61999999999998,203.85999999999999,full,trend,2.0,,
2025-09-26T16:17:59+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.61999999999998,203.85999999999999,full,trend,2.0,,
2025-09-26T16:18:07+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.61999999999998,203.85999999999999,full,trend,2.0,,
2025-09-26T16:18:15+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.61999999999998,203.85999999999999,full,trend,2.0,,
2025-09-26T16:18:22+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.61999999999998,203.85999999999999,full,trend,2.0,,
2025-09-26T16:18:31+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.61999999999998,203.85999999999999,full,trend,2.0,,
2025-09-26T16:18:38+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.61571428571426,203.8685714285714,full,trend,2.0,,
2025-09-26T16:18:46+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:18:54+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:19:01+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:19:09+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:19:17+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:19:25+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:19:32+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:19:40+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:19:48+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:19:56+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:20:04+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:20:12+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:20:20+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:20:28+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:20:35+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:20:43+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:20:51+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:20:58+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:21:06+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:21:14+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:21:22+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:21:45+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:21:52+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:22:00+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:22:08+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:22:15+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:22:23+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:22:31+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:22:38+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:22:46+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60999999999999,203.88,full,trend,2.0,,
2025-09-26T16:22:54+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60285714285712,203.8942857142857,full,trend,2.0,,
2025-09-26T16:23:01+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60285714285712,203.8942857142857,full,trend,2.0,,
2025-09-26T16:23:09+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60285714285712,203.8942857142857,full,trend,2.0,,
2025-09-26T16:23:17+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60285714285712,203.8942857142857,full,trend,2.0,,
2025-09-26T16:23:24+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60285714285712,203.8942857142857,full,trend,2.0,,
2025-09-26T16:23:32+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60285714285712,203.8942857142857,full,trend,2.0,,
2025-09-26T16:23:39+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60285714285712,203.8942857142857,full,trend,2.0,,
2025-09-26T16:23:47+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60285714285712,203.8942857142857,full,trend,2.0,,
2025-09-26T16:23:55+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60285714285712,203.8942857142857,full,trend,2.0,,
2025-09-26T16:24:02+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60285714285712,203.8942857142857,full,trend,2.0,,
2025-09-26T16:24:10+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60285714285712,203.8942857142857,full,trend,2.0,,
2025-09-26T16:24:18+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60285714285712,203.8942857142857,full,trend,2.0,,
2025-09-26T16:24:26+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60285714285712,203.8942857142857,full,trend,2.0,,
2025-09-26T16:24:33+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60285714285712,203.8942857142857,full,trend,2.0,,
2025-09-26T16:24:41+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60285714285712,203.8942857142857,full,trend,2.0,,
2025-09-26T16:24:48+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60285714285712,203.8942857142857,full,trend,2.0,,
2025-09-26T16:24:56+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60285714285712,203.8942857142857,full,trend,2.0,,
2025-09-26T16:25:04+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60285714285712,203.8942857142857,full,trend,2.0,,
2025-09-26T16:25:11+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60285714285712,203.8942857142857,full,trend,2.0,,
2025-09-26T16:25:19+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60285714285712,203.8942857142857,full,trend,2.0,,
2025-09-26T16:25:26+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60285714285712,203.8942857142857,full,trend,2.0,,
2025-09-26T16:25:34+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60285714285712,203.8942857142857,full,trend,2.0,,
2025-09-26T16:25:41+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60285714285712,203.8942857142857,full,trend,2.0,,
2025-09-26T16:25:49+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60285714285712,203.8942857142857,full,trend,2.0,,
2025-09-26T16:25:57+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60285714285712,203.8942857142857,full,trend,2.0,,
2025-09-26T16:26:04+00:00,ENTER,SOLUSDT,long,30.3,197.7,194.60285714285712,203.8942857142857,full,trend,2.0,,
2025-09-26T17:11:24+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:11:32+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:11:40+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:11:48+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:11:55+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:12:03+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:12:11+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:12:18+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:12:27+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:12:35+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:12:43+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:12:51+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:12:59+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:13:06+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:13:14+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:13:22+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:13:29+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:13:37+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:13:45+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:13:52+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:14:00+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:14:07+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:14:15+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:14:23+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:14:31+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:14:38+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:14:46+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:14:53+00:00,ENTER,BNBUSDT,long,6.28,954.0,944.1428571428571,973.7142857142857,full,trend,2.0,,
2025-09-26T17:15:01+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9428571428571,975.5142857142856,full,trend,2.0,,
2025-09-26T17:15:08+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9428571428571,975.5142857142856,full,trend,2.0,,
2025-09-26T17:15:16+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9428571428571,975.5142857142856,full,trend,2.0,,
2025-09-26T17:15:23+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9428571428571,975.5142857142856,full,trend,2.0,,
2025-09-26T17:15:31+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9428571428571,975.5142857142856,full,trend,2.0,,
2025-09-26T17:15:39+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9428571428571,975.5142857142856,full,trend,2.0,,
2025-09-26T17:15:46+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9428571428571,975.5142857142856,full,trend,2.0,,
2025-09-26T17:15:54+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9428571428571,975.5142857142856,full,trend,2.0,,
2025-09-26T17:16:01+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9428571428571,975.5142857142856,full,trend,2.0,,
2025-09-26T17:16:09+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9428571428571,975.5142857142856,full,trend,2.0,,
2025-09-26T17:16:17+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9428571428571,975.5142857142856,full,trend,2.0,,
2025-09-26T17:16:24+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9285714285714,975.5428571428571,full,trend,2.0,,
2025-09-26T17:16:32+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9285714285714,975.5428571428571,full,trend,2.0,,
2025-09-26T17:16:39+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9285714285714,975.5428571428571,full,trend,2.0,,
2025-09-26T17:16:47+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9285714285714,975.5428571428571,full,trend,2.0,,
2025-09-26T17:16:55+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9285714285714,975.5428571428571,full,trend,2.0,,
2025-09-26T17:17:02+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9285714285714,975.5428571428571,full,trend,2.0,,
2025-09-26T17:19:56+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:20:02+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:20:08+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:20:14+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:20:21+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:20:27+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:20:33+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:20:39+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:20:46+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:20:52+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:20:59+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:21:05+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:21:12+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:21:18+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:21:25+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:21:31+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:21:37+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:21:43+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:21:49+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:21:55+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:22:02+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:22:08+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:22:14+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:22:20+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:22:26+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:22:32+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:22:38+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:22:45+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:22:51+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:22:58+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:23:04+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:23:10+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:23:17+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:23:23+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:23:29+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:23:36+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
2025-09-26T17:23:42+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9142857142857,975.5714285714284,full,trend,2.0,,
