ts_utc,event,symbol,side,qty,entry,sl,tp1,mode,range_mode,rr,exit_price,extra
2025-09-26T17:23:48+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9071428571428,975.5857142857142,full,trend,2.0,,
2025-09-26T17:23:54+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9071428571428,975.5857142857142,full,trend,2.0,,
2025-09-26T17:24:01+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.9071428571428,975.5857142857142,full,trend,2.0,,
2025-09-26T17:24:07+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.8285714285714,975.742857142857,full,trend,2.0,,
2025-09-26T17:24:13+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.7857142857142,975.8285714285713,full,trend,2.0,,
2025-09-26T17:24:20+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.7857142857142,975.8285714285713,full,trend,2.0,,
2025-09-26T17:24:26+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.7785714285714,975.842857142857,full,trend,2.0,,
2025-09-26T17:24:32+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.7785714285714,975.842857142857,full,trend,2.0,,
2025-09-26T17:24:39+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.7785714285714,975.842857142857,full,trend,2.0,,
2025-09-26T17:24:45+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.7785714285714,975.842857142857,full,trend,2.0,,
2025-09-26T17:24:51+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.7714285714285,975.8571428571428,full,trend,2.0,,
2025-09-26T17:24:58+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.7714285714285,975.8571428571428,full,trend,2.0,,
2025-09-26T17:25:04+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.75,975.8999999999999,full,trend,2.0,,
2025-09-26T17:25:10+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.75,975.8999999999999,full,trend,2.0,,
2025-09-26T17:25:16+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.75,975.8999999999999,full,trend,2.0,,
2025-09-26T17:25:22+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.7285714285714,975.9428571428571,full,trend,2.0,,
2025-09-26T17:25:29+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.7285714285714,975.9428571428571,full,trend,2.0,,
2025-09-26T17:25:36+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.7285714285714,975.9428571428571,full,trend,2.0,,
2025-09-26T17:25:42+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.7285714285714,975.9428571428571,full,trend,2.0,,
2025-09-26T17:25:48+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.7285714285714,975.9428571428571,full,trend,2.0,,
2025-09-26T17:25:55+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.7285714285714,975.9428571428571,full,trend,2.0,,
2025-09-26T17:26:01+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.7285714285714,975.9428571428571,full,trend,2.0,,
2025-09-26T17:26:07+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.7285714285714,975.9428571428571,full,trend,2.0,,
2025-09-26T17:26:13+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.7214285714285,975.9571428571428,full,trend,2.0,,
2025-09-26T17:26:20+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.7142857142857,975.9714285714285,full,trend,2.0,,
2025-09-26T17:26:26+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.6714285714286,976.0571428571428,full,trend,2.0,,
2025-09-26T17:26:32+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.6714285714286,976.0571428571428,full,trend,2.0,,
2025-09-26T17:26:39+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.6714285714286,976.0571428571428,full,trend,2.0,,
2025-09-26T17:26:45+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.6642857142857,976.0714285714284,full,trend,2.0,,
2025-09-26T17:26:51+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.6642857142857,976.0714285714284,full,trend,2.0,,
2025-09-26T17:26:57+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.6285714285714,976.1428571428571,full,trend,2.0,,
2025-09-26T17:27:03+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.6285714285714,976.1428571428571,full,trend,2.0,,
2025-09-26T17:27:10+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.6285714285714,976.1428571428571,full,trend,2.0,,
2025-09-26T17:27:16+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.6214285714285,976.1571428571427,full,trend,2.0,,
2025-09-26T17:27:22+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.6071428571429,976.1857142857142,full,trend,2.0,,
2025-09-26T17:27:28+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.6071428571429,976.1857142857142,full,trend,2.0,,
2025-09-26T17:27:34+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.6,976.1999999999999,full,trend,2.0,,
2025-09-26T17:27:40+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.6,976.1999999999999,full,trend,2.0,,
2025-09-26T17:27:46+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.5928571428572,976.2142857142857,full,trend,2.0,,
2025-09-26T17:27:53+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.5928571428572,976.2142857142857,full,trend,2.0,,
2025-09-26T17:27:59+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.5928571428572,976.2142857142857,full,trend,2.0,,
2025-09-26T17:28:05+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.5928571428572,976.2142857142857,full,trend,2.0,,
2025-09-26T17:28:11+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.5928571428572,976.2142857142857,full,trend,2.0,,
2025-09-26T17:28:17+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.5928571428572,976.2142857142857,full,trend,2.0,,
2025-09-26T17:28:23+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.5928571428572,976.2142857142857,full,trend,2.0,,
2025-09-26T17:28:29+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.5928571428572,976.2142857142857,full,trend,2.0,,
2025-09-26T17:28:36+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.5928571428572,976.2142857142857,full,trend,2.0,,
2025-09-26T17:28:43+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.5928571428572,976.2142857142857,full,trend,2.0,,
2025-09-26T17:28:49+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.5928571428572,976.2142857142857,full,trend,2.0,,
2025-09-26T17:28:55+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.5928571428572,976.2142857142857,full,trend,2.0,,
2025-09-26T17:29:02+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.5928571428572,976.2142857142857,full,trend,2.0,,
2025-09-26T17:29:08+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.5928571428572,976.2142857142857,full,trend,2.0,,
2025-09-26T17:29:14+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.5928571428572,976.2142857142857,full,trend,2.0,,
2025-09-26T17:29:20+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.5928571428572,976.2142857142857,full,trend,2.0,,
2025-09-26T17:29:26+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.5928571428572,976.2142857142857,full,trend,2.0,,
2025-09-26T17:29:33+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.5928571428572,976.2142857142857,full,trend,2.0,,
2025-09-26T17:29:39+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.5928571428572,976.2142857142857,full,trend,2.0,,
2025-09-26T17:29:45+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.5928571428572,976.2142857142857,full,trend,2.0,,
2025-09-26T17:29:51+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.5928571428572,976.2142857142857,full,trend,2.0,,
2025-09-26T17:29:58+00:00,ENTER,BNBUSDT,long,6.2700000000000005,955.8,945.5928571428572,976.2142857142857,full,trend,2.0,,
2025-09-26T17:30:03+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:30:03+00:00,ENTER,SOLUSDT,long,29.700000000000003,201.54,198.36499999999998,207.89,full,trend,2.0,,
2025-09-26T17:30:04+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:30:10+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:30:10+00:00,ENTER,SOLUSDT,long,29.700000000000003,201.54,198.36499999999998,207.89,full,trend,2.0,,
2025-09-26T17:30:10+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:30:16+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:30:17+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:30:23+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:30:23+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:30:29+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:30:30+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:30:35+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:30:36+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:30:42+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:30:42+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:30:48+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:30:49+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:30:55+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:30:55+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:31:01+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:31:02+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:31:08+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:31:09+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:31:15+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:31:15+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:31:21+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:31:22+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:31:27+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:31:28+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:31:35+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:31:41+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:31:42+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:31:48+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:31:54+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:31:54+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:32:00+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:32:01+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:32:07+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:32:14+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:32:20+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:32:27+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:32:33+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:32:40+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:32:46+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:32:52+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:32:59+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:33:05+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:33:11+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:33:18+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:33:23+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:33:24+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:33:30+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:33:30+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:33:36+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:33:37+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:33:43+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:33:43+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:33:49+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:33:50+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:33:55+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:33:56+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:34:02+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:34:02+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:34:08+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:34:09+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:34:15+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:34:16+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:34:22+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:34:23+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:34:29+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:34:29+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:34:35+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:34:36+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:34:41+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:34:42+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:34:48+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:34:49+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:34:55+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:34:55+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:35:01+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:35:02+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
2025-09-26T17:35:07+00:00,ENTER,ETHUSDT,long,1.49,4023.8,3974.634285714286,4122.131428571429,full,trend,2.0,,
2025-09-26T17:35:08+00:00,ENTER,BNBUSDT,long,6.25,959.9,949.6928571428572,980.3142857142857,full,trend,2.0,,
